lat,lng,ecm,building_type,savings
37.786931,-122.430077,HVAC Duct Leakage,Hotel,12.895781653541105
37.737333,-122.469803,Building Leakage,Hotel,6.377862068417791
37.774397,-122.41912,Roof Insulation,Hotel,25.57412736720233
37.794395,-122.403091,HVAC System,Office,10.506389521155498
37.788633,-122.421908,HVAC System,Hotel,12.861912340210399
37.787882,-122.404105,HVAC Duct Leakage,Office,6.239540698926285
37.793285,-122.406895,HVAC Duct Leakage,Retail Store,-32.83234396248284
37.790941,-122.422536,HVAC Duct Leakage,Office,8.239747373193302
37.739562,-122.403344,HVAC Duct Leakage,Retail Store,9.841771778646226
37.788083,-122.41008,Building Leakage,Office,9.863882857306564
37.778444,-122.425744,Roof Insulation,Office,8.859604381259048
37.789506,-122.406291,Building Leakage,Retail Store,10.071177145400924
37.743,-122.477102,HVAC System,Office,18.629579832032583
37.799395,-122.434278,HVAC System,Hotel,1.8727331167455787
37.78595,-122.411795,Roof Insulation,Retail Store,11.030757645657257
37.780278,-122.412783,HVAC System,Retail Store,8.08302114090561
37.787681,-122.405705,Roof Insulation,Office,-2.3717288835768358
37.806263,-122.416144,HVAC Duct Leakage,Retail Store,-8.25352907962671
37.772468,-122.421177,HVAC System,Hotel,-10.638561143805706
37.780995,-122.466213,Roof Insulation,Hotel,7.985892948515788
37.760269,-122.434935,HVAC System,Office,13.426427564114086
37.796978,-122.401939,HVAC Duct Leakage,Office,-5.00017527730887
37.783442,-122.44725,Building Leakage,Hotel,8.72223693705377
37.806973,-122.418105,HVAC Duct Leakage,Hotel,19.0339182777352
37.789856,-122.407063,HVAC System,Retail Store,7.164065718308631
37.790172,-122.445585,Building Leakage,Retail Store,9.961498071867233
37.790479,-122.432501,HVAC Duct Leakage,Hotel,4.490848783127391
37.796513,-122.402784,HVAC Duct Leakage,Office,9.578792510955934
37.787053,-122.410628,HVAC Duct Leakage,Office,6.825035956552241
37.795069,-122.401553,Roof Insulation,Office,17.96223409767741
37.785267,-122.403312,HVAC System,Office,11.984449543445269
37.788726,-122.405,Building Leakage,Hotel,9.452939967690178
37.807088,-122.418926,HVAC Duct Leakage,Hotel,-1.0744813391836914
37.797349,-122.403336,Roof Insulation,Office,3.819902112919489
37.793686,-122.401278,Roof Insulation,Office,5.58631037460717
37.766848,-122.419839,HVAC System,Office,8.126149225516297
37.787222,-122.421773,HVAC System,Hotel,-13.732911412067011
37.780869,-122.412039,HVAC System,Retail Store,8.90073283823251
37.768237,-122.4134,Building Leakage,Office,5.6193642164921975
37.781122,-122.460752,Building Leakage,Hotel,13.461477962021565
37.743846,-122.438211,Roof Insulation,Office,8.467462159466349
37.769042,-122.422296,Building Leakage,Retail Store,5.568534590333824
37.779283,-122.414039,Roof Insulation,Office,-21.847727588856102
37.79793,-122.400928,Roof Insulation,Retail Store,7.17123023011694
37.80109,-122.411718,HVAC System,Office,46.73237903817645
37.786477,-122.43026,Roof Insulation,Retail Store,10.655343707648171
37.773177,-122.421604,HVAC Duct Leakage,Office,7.500533037680282
37.797239,-122.399558,HVAC Duct Leakage,Office,8.338024013028631
37.767878,-122.419942,HVAC System,Hotel,8.845583782528193
37.792822,-122.406009,HVAC System,Hotel,2.895767494248431
37.780984,-122.463719,HVAC System,Retail Store,-4.62489963532367
37.801902,-122.409477,HVAC System,Hotel,86.55020357088027
37.782559,-122.409892,Roof Insulation,Retail Store,7.829578639819533
37.788967,-122.410718,HVAC System,Hotel,12.664372614846297
37.76503,-122.419926,Roof Insulation,Hotel,3.1649292697840057
37.764673,-122.432634,HVAC Duct Leakage,Office,8.937093166776163
37.789178,-122.409117,HVAC System,Retail Store,7.154367289243346
37.761644,-122.419338,HVAC System,Hotel,8.69058479567998
37.723015,-122.443812,HVAC Duct Leakage,Office,11.272987981113456
37.805393,-122.422944,Roof Insulation,Hotel,9.582258954822194
37.790368,-122.403963,HVAC Duct Leakage,Hotel,9.800654385081668
37.77068,-122.417946,HVAC Duct Leakage,Hotel,7.4519719730939205
37.789961,-122.40284,HVAC System,Hotel,13.890180332308367
37.789188,-122.40532,Building Leakage,Hotel,6.306794484781799
37.793937,-122.407882,HVAC System,Retail Store,8.851463051037555
37.783065,-122.419456,HVAC System,Hotel,4.21002774269563
37.760872,-122.435268,Roof Insulation,Hotel,6.794004037077213
37.738366,-122.497285,Building Leakage,Retail Store,11.926404339115134
37.795669,-122.409467,Roof Insulation,Retail Store,6.995015427653083
37.788617,-122.420956,Building Leakage,Retail Store,15.207857898340123
37.807088,-122.418926,HVAC System,Retail Store,9.467500078447902
37.755294,-122.418733,Roof Insulation,Retail Store,8.743363950065111
37.789454,-122.406693,Roof Insulation,Retail Store,10.590633590912896
37.787933,-122.403733,HVAC Duct Leakage,Hotel,6.389827695335146
37.795991,-122.423545,Building Leakage,Office,9.828402279465626
37.786757,-122.420417,Roof Insulation,Hotel,5.3723715434766035
37.77393,-122.420665,HVAC Duct Leakage,Retail Store,8.684046712987268
37.769114,-122.419279,Roof Insulation,Hotel,13.932300214366668
37.789906,-122.400607,Building Leakage,Hotel,8.398438300490778
37.788613,-122.405874,HVAC System,Retail Store,11.40238712134726
37.773088,-122.43786,HVAC Duct Leakage,Retail Store,-8.83240263991808
37.788756,-122.421931,HVAC System,Office,6.555011578514309
37.7993,-122.408714,HVAC System,Retail Store,6.9652526739894824
37.782588,-122.410655,Building Leakage,Office,-36.01776152751252
37.785845,-122.407937,HVAC Duct Leakage,Retail Store,7.81202634225327
37.771477,-122.419455,HVAC System,Office,14.622203635506594
37.804072,-122.405018,Building Leakage,Office,-2.593388328631919
37.79128,-122.39995,Roof Insulation,Hotel,7.009563866082054
37.79716,-122.404826,HVAC Duct Leakage,Office,8.083108140318087
37.79561,-122.400463,Roof Insulation,Retail Store,8.302026282456254
37.79047,-122.402289,Roof Insulation,Hotel,-14.088750411632287
37.786132,-122.417884,HVAC Duct Leakage,Hotel,2.4374546962525363
37.7827,-122.409715,HVAC System,Retail Store,6.299193878211346
37.788837,-122.404097,Roof Insulation,Office,8.792952497878778
37.779662,-122.503481,Building Leakage,Hotel,60.33531647470741
37.796827,-122.400326,Building Leakage,Office,0.9369236203399289
37.78381,-122.408308,Roof Insulation,Retail Store,4.925936706541714
37.782857,-122.406646,Roof Insulation,Retail Store,9.65157298014353
37.784809,-122.407047,HVAC Duct Leakage,Hotel,6.390124595730191
37.807955,-122.415754,HVAC Duct Leakage,Office,1.223464769786684
37.792475,-122.405692,Building Leakage,Retail Store,6.2882430747410645
37.79051,-122.406077,Building Leakage,Retail Store,5.129299148434772
37.780657,-122.423352,HVAC System,Office,7.687100858415698
37.798682,-122.400222,HVAC System,Retail Store,-72.61516205553579
37.793542,-122.407802,HVAC System,Office,7.737028124813238
37.790615,-122.40519,Roof Insulation,Office,-39.90750603389962
37.788816,-122.404252,Building Leakage,Office,18.510190474827947
37.773889,-122.414554,HVAC Duct Leakage,Office,9.901663356436798
37.75724,-122.418919,HVAC Duct Leakage,Office,4.577994951826966
37.788797,-122.412031,HVAC System,Hotel,7.777446851085776
37.793723,-122.401286,Building Leakage,Hotel,3.7728564424404754
37.800582,-122.400527,Building Leakage,Retail Store,6.573054674443209
37.785175,-122.40659,HVAC Duct Leakage,Office,27.409748032718067
37.778619,-122.41489,Roof Insulation,Hotel,517.93087175113
37.753188,-122.416338,Building Leakage,Office,6.312647502975829
37.77812,-122.415519,Building Leakage,Office,4.603169452421939
37.796997,-122.401943,HVAC System,Office,6.690275821750287
37.775312,-122.420155,Building Leakage,Office,17.93662587505065
37.787995,-122.410748,HVAC System,Office,2.285673398015658
37.796455,-122.40327,HVAC System,Retail Store,8.42010909503628
37.79407,-122.398931,HVAC System,Retail Store,8.133187834735264
37.785643,-122.406859,Roof Insulation,Retail Store,5.998111615659393
37.789581,-122.391617,Roof Insulation,Retail Store,7.835842255272906
